fold,train_start,train_end,test_start,test_end,train_pnl,train_sharpe,train_max_dd,test_pnl,test_sharpe,test_max_dd,test_trades,baseline_test_pnl,baseline_test_sharpe,baseline_test_max_dd,param_fast_n,param_slow_n,param_atr_n,param_band,param_min_vol,param_max_vol,param_size,param_max_hold
1,2018-01-01,2021-01-01,2021-01-01,2021-07-01,3112.9366259321896,0.7492176900076668,-29.299832639254596,446.87958017791493,0.8071025208173334,-21.994020732482046,41,1488.7633173737581,0.8628197310132966,-21.65349867094095,4,99,112,0.01228038269487615,0.0036162968089384143,0.3227868946864581,0.6867444805030665,2725
2,2018-07-01,2021-07-01,2021-07-01,2022-01-01,6344.5014742111725,0.6885690992774972,-48.81752380482671,1304.4362564583162,1.520845940588948,-13.432650312211925,4,1304.4362564583162,1.520845940588948,-13.432650312211925,17,20,53,0.0034739190382566377,0.0019457069229671042,0.21170291407994768,0.9446983937981164,954
3,2019-01-01,2022-01-01,2022-01-01,2022-07-01,9810.042741182737,0.7701077823528241,-48.81752326175509,478.2043645813069,0.8989328410355945,-27.530908009319877,9,478.2043645813069,0.8989328410355945,-27.530908009319877,17,20,53,0.0034739190382566377,0.0019457069229671042,0.21170291407994768,0.9446983937981164,954
4,2019-07-01,2022-07-01,2022-07-01,2023-01-01,12514.384022446919,0.8227623616904013,-48.81752310861697,270.3059942727393,0.7867983850296443,-17.95023340667671,6,270.3059942727393,0.7867983850296443,-17.95023340667671,17,20,53,0.0034739190382566377,0.0019457069229671042,0.21170291407994768,0.9446983937981164,954
5,2020-01-01,2023-01-01,2023-01-01,2023-07-01,22356.96337425311,0.9567676796596485,-48.81752354395138,147.85803186079102,0.5956654685689262,-22.09944371858944,5,147.85803186079102,0.5956654685689262,-22.09944371858944,17,20,53,0.0034739190382566377,0.0019457069229671042,0.21170291407994768,0.9446983937981164,954
6,2020-07-01,2023-07-01,2023-07-01,2024-01-01,24824.214275495342,1.1048607601768428,-28.647280423353482,128.3277108162447,1.0323384861122793,-11.161643548158573,3,128.3277108162447,1.0323384861122793,-11.161643548158573,17,20,53,0.0034739190382566377,0.0019457069229671042,0.21170291407994768,0.9446983937981164,954
7,2021-01-01,2024-01-01,2024-01-01,2024-07-01,13045.786089124633,1.0292127299483784,-28.647280421191347,-79.99084162739996,-0.338060448877728,-28.628084693911447,8,-79.99084162739996,-0.338060448877728,-28.628084693911447,17,20,53,0.0034739190382566377,0.0019457069229671042,0.21170291407994768,0.9446983937981164,954
8,2021-07-01,2024-07-01,2024-07-01,2025-01-01,4917.731539358542,0.936246251989224,-30.44806474710854,27.42917799385077,0.10054780973012842,-32.06241259097805,5,27.42917799385077,0.10054780973012842,-32.06241259097805,17,20,53,0.0034739190382566377,0.0019457069229671042,0.21170291407994768,0.9446983937981164,954
9,2022-01-01,2025-01-01,2025-01-01,2025-07-01,-22.1498612581521,-0.16767803567709735,-6.7187909136218416,0.0,,-0.0,0,120.49102453107753,0.4873468695168728,-29.669497134218346,33,75,78,0.002406725519994961,0.015717640989498682,0.3565677239283289,0.3369561173664414,430
10,2022-07-01,2025-07-01,2025-07-01,2026-01-01,58.59968176766574,0.24750269582415085,-11.465767884889322,0.0,,-0.0,0,-8.625701452484805,-0.07227850596385726,-21.002922930716593,49,61,72,0.009383883306671857,0.008202158703246901,0.22992900694621532,0.4962007369285727,1850
